	Japanese	English	Japanese Example	English Sentence	listening score	speaking score
2449	きんじる	prohibit, forbid	し は さくねん から あるきたばこ を <b>きんじて いる</b> の	Since last year, the city has banned smoking cigarettes while walking.	0	0
2450	けむり	smoke, fumes	えんとつ から <b>けむり</b> が まっすぐ あがって いた の	Smoke was rising straight up from the chimney.	0	0
2451	さかや	liquor store	そこ の <b>さかや</b>さん で びーる を かって きて	Go and buy some beer at that liquor store.	0	0
2452	きんしゅ	abstention from alcohol	かれ は <b>きんしゅ</b> して います	He is on the wagon.	0	0
2453	スタンド	table lamp, desk lamp	あね は <b>すたんど</b> の した で ほん を よんで いた ん だ	My elder sister was reading a book by the desk lamp.	0	0
2454	げんしょう	decrease, reduction@phenomenon	この くに は じんこう が <b>げんしょう</b> して いる わ ね@むら で は さいきん ふしぎ な <b>げんしょう</b> が おきて います	The population of this country is decreasing.@A mysterious phenomenon occurred in the village recently.	0	0
2455	けわしい	steep, craggy	ちち の ひょうじょう が <b>けわしく なった</b> の	My father's expression became grim.	0	0
2456	しょうけん	bill, bond	<b>しょうけん</b> を うって しきん に しよう と おもう の	I'm thinking of selling some securities and converting them to funds.	0	0
2457	かんせつ	indirect@joint	それ は <b>かんせつ</b>てき な げんいん の ひとつ です@てくび の <b>かんせつ</b> を ひねっちゃった	It's one of the indirect causes.@I have twisted my wrist joint.	0	0
2458	せいぞん	existence, survival	じょうきゃく は ぜんいん <b>せいぞん</b> して います	All passengers survived.	0	0
2459	ごぞんじ	know	かれ の なまえ を <b>ごぞんじ</b> です か	Do you know his name?	0	0
2460	ごうい	mutual agreement	りょうしゃ が がっぺい に <b>ごうい</b> しました	The two companies agreed to the amalgamation.	0	0
2461	さす	pour@stab, prick, sting@shine on@open (an umbrella)@point to, aim at	じてんしゃ に あぶら を <b>さした</b> の 。@むし に うで を <b>さされました</b>@きょう は ひさしぶり に ひ が <b>さして る</b> ね@あめ が ふって きた の で かさ を <b>さしました</b>@とけい が じゅうにじ を <b>さして る</b>	I applied oil to the bicycle.@I was stung on the arm by an insect.@The sun is shining today for the first time in a long time.@I opened my umbrella as it started to rain.@The clock points to 12 o'clock.	0	0
2462	がっかり	feel disappointed	せいせき が おちて <b>がっかり</b> した	I was disappointed bacause my grades fell.	0	0
2463	いよく	volition, motivation	かれ は しごと に <b>いよく</b> を もやして います	He is very motivated to work.	0	0
2464	けつい	resolution, determination	かれ の <b>けつい</b> は かたい な	His decision is firm.	0	0
2465	もの	thing, object@person, fellow	かのじょ の いえ に は <b>もの</b> が たくさん あります@わたし は さきほど でんわ した <b>もの</b> です	There are a lot of things in her house.@I'm the person who called a while earlier.	0	0
2466	いがい	unexpected, unforeseen	<b>いがい</b> に も かれ は どくしん です	Surprisingly, he is single.	0	0
2467	いぎ	meaning, significance	この じぎょう に は おおき な <b>いぎ</b> が あります	This project has enormous significance.	0	0
2468	なくす	lose (in death)@lose, get rid of	さくねん ゆうじん を <b>なくしました</b>@きょう かぎ を <b>なくしました</b>	I lost my friend last year.@I lost my key today.	0	0
2469	におい	smell, odor@smell, odor	いい <b>におい</b> が する@ここ は いや な <b>におい</b> が する 。	It smells good.@There's an unpleasant smell here.	0	0
2470	いじわる	nastiness, ill-natured person	かれ は ときどき <b>いじわる</b> な しつもん を する 。	He sometimes raises nasty questions.	0	0
2471	かくほ	securement	すぐれた じんざい の <b>かくほ</b> は じゅうよう です	Securing excellent talent is important.	0	0
2472	スライド	slide	この ふた は <b>すらいど</b> します	This cover slides aside.	0	0
2473	かくてい	decision, confirmation	しあい の だいひょう めんばー が <b>かくてい</b> した の	The game's team members have been decided.	0	0
2474	かくじつ	certain, secure	かのじょ が しょうらい だいとうりょう に なる こと は <b>かくじつ</b> です	It is certain that she will become the president in the future.	0	0
2475	かくりつ	probability, rate@establishment	てんき よほう は あたる <b>かくりつ</b> が たかく なりました ね@ほくおう で は しゃかい ほしょう が <b>かくりつ</b> されて います	The chance that the weather forecast is right has increased.@Social security has been established in Northern Europe.	0	0
2476	とじる	bind, file@close	しょるい は この ふぁいる に <b>とじて</b> ください@きょうかしょ を <b>とじて</b> ください	Put the documents in this file.@Please close your textbooks.	0	0
2477	かくしん	firm belief, conviction	わたし は かれ の せいこう を <b>かくしん</b> して います	I am convinced of his success.	0	0
2478	じょし	particle, postposition@woman, girl	<b>じょし</b> を かえる と ぶん の いみ が かわります@この くらす の <b>じょし</b> は じゅうはちにん です	The sentence meaning changes when the particle is changed.@There are 18 girls in this class.	0	0
2479	あたり	hit, success@vicinity, around	かれ の よそう は おお<b>あたり</b> でした@<b>あたり</b> を みまわした の	His prediction was spot on.@We looked around the area.	0	0
2480	けいそつ	rash, light-headed	<b>けいそつ</b> な はつげん は しない よう き を つけなさい	Take care not to make flippant remarks.	0	0
2481	おっしゃる	say	あなた の <b>おっしゃる</b> とおり です	It is as you say.	0	0
2482	きき	crisis, emergency	ちきゅう かんきょう の <b>きき</b> が さけばれて いる の よ	There's an outcry over a world-wide environmental crisis.	0	0
2483	しょっき	tableware, dinner set	<b>しょっき</b> を ぜんぶ あたらしく しました	I replaced all the tableware.	0	0
2484	どう	how, what@copper	あなた は <b>どう</b> おもいます か@10 えんだま は <b>どう</b> で できて います	What do you think?@The ten yen coin is made of copper.	0	0
2485	きよう	skillful, clever	かれ は かなり <b>きよう</b> な ひと です	He is very good with his hands.	0	0
2486	クラシック	classical music, the classics	かのじょ は <b>くらしっく</b> おんがく が すき です	She likes classical music.	0	0
2487	じゅわき	receiver	<b>じゅわき</b> を とって もらえます か	Could you pick up the receiver?	0	0
2488	うつわ	vessel, dish	この <b>うつわ</b> は じょうとう ね	This dish is really top quality.	0	0
2489	しょうかき	fire extinguisher	<b>しょうかき</b> を こうかん しました	The fire extinguisher was replaced.	0	0
2490	しゅざい	collection of data, gathering of news	てれび も <b>しゅざい</b> に きた ほど ゆうめい な れすとらん です	The restaurant is so famous that the TV news ran a story on it.	0	0
2491	ざいもく	timber, wood	ふね から <b>ざいもく</b> が おろされて います ね	Timber is being unloaded from the ship.	0	0
2492	ぐあい	condition, health	きょう は からだ の <b>ぐあい</b> が わるい です	I feel unwell today.	0	0
2493	こうりつ	public@efficiency	えきまえ に <b>こうりつ</b> の としょかん が ある よ@さぎょう の <b>こうりつ</b> を あげる に は どう したら いい です か	There is a public library opposite the station.@How should we increase efficiency at work?	0	0
2494	さっと	quickly, suddenly	こぼれた ぎゅうにゅう を <b>さっと</b> ふきとった の	I quickly wiped up the spilt milk.	0	0
2495	きぐ	utensil, implement	これ は すぽーつ しせつよう の <b>きぐ</b> です	This is equipment for the sports facility.	0	0
2496	あまぐ	rain gear, rainwear	<b>あまぐ</b> の ようい を わすれない よう に	Don't forget to prepare your rainwear.	0	0
2497	きち	base, military base	ここ は むかし ぐんじ <b>きち</b> でした	This used to be a military base.	0	0
2498	しょうにん	merchant, trader@approval, recognition	<b>しょうにん</b> は すうじ に つよい ね@これ は せいふ の <b>しょうにん</b> を うけた しかく です	Businessmen are good with figures.@This is a qualification approved by the government	0	0
2499	すいじゅん	level, standard	ことし の おうぼ さくひん は <b>すいじゅん</b> が たかかった ね	The standard of entries this year was high.	0	0
2500	じゅんきゅう	local express	しんじゅくえき まで <b>じゅんきゅう</b> で いった の よ	I went to Tokyo Station by the local express.	0	0
2501	せつりつ	establishment, foundation	とうしゃ は じゅうねんまえ に <b>せつりつ</b> された の よ	Our company was established ten years ago.	0	0
2502	キャンセル	cancellation	よやく を <b>きゃんせる</b> した よ	I canceled the reservation.	0	0
2503	せつび	equipment, facilities	この けんきゅうじょ に は さいしん の <b>せつび</b> が そろって います	This laboratory has the latest equipment.	0	0
2504	みる	see, look at@examine	わたし は え を <b>みる</b> の が すき です@きょう 、 いしゃ に <b>みてもらいました</b>。	I like looking at pictures.@I had the doctor examine me today.	0	0
2505	せつ	theory, opinion	わたし は かれ の <b>せつ</b> が ただしい と おもう	I think that his theory is correct.	0	0
2506	かいせつ	explanation, commentary	しんぶん の <b>かいせつ</b> らん を よみました	I read the comment column in the newspaper.	0	0
2507	いくら	how much@no matter how much	この くつ は <b>いくら</b> です か@<b>いくら</b> よんで も かれ は へんじ を しなかった わ	How much are these shoes?@No matter how many times I called, he didn't respond.	0	0
2508	しゃせつ	editorial	この しんぶん の <b>しゃせつ</b> は おもしろい ね	The editorial in this newspaper is interesting.	0	0
2509	がくせつ	theory	それ は さいしん の <b>がくせつ</b> ね	It is the latest theory.	0	0
2510	こうしき	formal, official	こんご の ほうしん が <b>こうしき</b> に はっぴょう されました	The future policy was officially announced.	0	0
2511	こうきょう	public society, community	<b>こうきょう</b> の のりもの は だれ で も りよう できます	Public transport is available to everyone.	0	0
2512	シーツ	sheet	めいど が <b>しーつ</b> を こうかん して くれた ね	The maid changed the sheets.	0	0
2513	こうへい	impartiality, fairness	しょうきん を もらったら <b>こうへい</b> に わけましょう	If we win the prize, let's share it equally.	0	0
2514	がくえん	educational institution, school	かのじょ は こうがい の <b>がくえん</b> に かよって いる ね	She goes to a school in the suburbs.	0	0
2515	さいじつ	national holiday, festival day	うち の かいしゃ は <b>さいじつ</b> は やすみ です	At our company, we get national holidays off.	0	0
2516	こくさいてき	international	かのじょ は <b>こくさいてき</b> に ゆうめい な かしゅ です	She is an internationally famous singer.	0	0
2517	こくさいか	internationalization	この だいがく も <b>こくさいか</b> して きた な	This university has internationalized.	0	0
2518	こうさい	association, friendship	かれ は もでる と <b>こうさい</b> して いた ん だ	He was going out with a model.	0	0
2519	さい	occasion, time	この <b>さい</b> はっきり いって おきます	It's a good opportunity to speak frankly.	0	0
2520	こうくう	aviation	かいぎ で <b>こうくう</b> の あんぜん に ついて はなしあった の	Airline safety was discussed at the conference.	0	0
2521	こうくうき	aircraft, airplane	きょねん は <b>こうくうき</b> の じこ が おおかった	There were a lot of aircraft accidents last year.	0	0
2522	こうくうけん	airline ticket	でんわ で <b>こうくうけん</b> を よやく しました	I booked an airline ticket by phone.	0	0
2523	かんぜん	perfect, complete	この ふるい じいん は いま で も <b>かんぜん</b> な かたち を たもって いる ん だ	This old Buddhist temple still maintains its complete form.	0	0
2524	せいちょう	growth	にわ の き、 おおきく <b>せいちょう</b> した わ ね	The tree in the garden has grown a lot.	0	0
2525	せいりつ	formation	あの かいしゃ と の けいやく が <b>せいりつ</b> しました	We concluded a contract with that company.	0	0
2526	けいせい	formation	いま は ほね が <b>けいせい</b> される たいせつ な じき です	This is an important period in life when bones are being formed.	0	0
2527	コック	cook, chef	かれ は うで の いい <b>こっく</b> です	He is a good cook.	0	0
2528	けっせい	organization, formation	あたらしい だいひょう ちーむ が <b>けっせい</b> されました	The new representative team was formed.	0	0
2529	せいか	result, fruit	きびしい れんしゅう が よい <b>せいか</b> に むすびつきました	Intense training leads to good results.	0	0
2530	さんせい	approval, agreement	わたし は かれ の いけん に <b>さんせい</b> だ	I agree with his opinion.	0	0
2531	ごうせい	composition, synthesis	この そふと で がぞう を <b>ごうせい</b> できます	Images can be synthesized with this software.	0	0
2532	せいじん	adult, grownup	むすめ が ことし <b>せいじん</b> します	My daughter comes of age this year.	0	0
2533	うしなう	lose, miss	かれ は じしん で おや を <b>うしないました</b>	He lost his parents due to the earthquake.	0	0
2534	えび	lobster, shrimp	わたし は <b>えび</b> の てんぷら が すき です	I like shrimp tempura.	0	0
2535	しつぎょう	unemployment, loss of job	ともだち の おとうさん が とつぜん <b>しつぎょう</b> した の	My friend's father suddenly lost his job.	0	0
2536	あらわす	show, reveal@write, compose@express, represent	かれ は ようやく すがた を <b>あらわしました</b> ね@この ほん で は しぜん の たいせつさ が よく <b>あらわされて いる</b> よ@わたしたち は ばんざい を して よろこび を <b>あらわしました</b>	He finally showed up.@The importance of nature is well written in this book.@We expressed our joy by throwing our arms in the air.	0	0
2537	しっぱい	failure, mistake	いちど の <b>しっぱい</b> で あきらめては いけない よ	You must not give up after one setback.	0	0
2538	しょうはい	victory or defeat	この せっと で <b>しょうはい</b> が きまります	Victory or defeat will be decided in this set.	0	0
2539	げんそく	principle, general rule	<b>げんそく</b> と して きゃんせる できません	As a general rule, cancellations can't be accepted.	0	0
2540	げんりょう	raw material	せきゆ は いろいろ な せいひん の <b>げんりょう</b> に なります	Petroleum is the raw material for various products.	0	0
2541	げんり	principle, theory	けんがくしゃ に きかい の うごく <b>げんり</b> を せつめい しました	I explained the mechanism of the machine to the visitor.	0	0
2542	げんしりょく	atomic energy, nuclear power	<b>げんしりょく</b> の あんぜん な りよう に ついて かんがえましょう	Let's think about the safe use of nuclear power.	0	0
2543	グリーン	green	その <b>ぐりーん</b> の すかーふ すてき です ね	That green scarf is lovely, isn't it?	0	0
2544	こうげん	plateau, highland	<b>こうげん</b> に は きもち の いい かぜ が ふいていた よ 。	A pleasant breeze blew across the plateau.	0	0
2545	しりょう	materials, data	としょかん で <b>しりょう</b> を かりて きました	I borrowed some materials from the library.	0	0
2546	しさん	property, assets	だいじん の <b>しさん</b> が こうひょう された ね	The minister's assets were made public.	0	0
2547	しほんしゅぎ	capitalism	その くに は しだいに <b>しほんしゅぎ</b> に なった わ ね	The country gradually became capitalist.	0	0
2548	しげん	resources	ちきゅう の <b>しげん</b> を まもりましょう	Let's protect the earth's resources.	0	0
2549	がんしょ	application form	きょう だいがく に <b>がんしょ</b> を おくりました	Today I sent an application form to the college.	0	0
2550	せいしき	formal, regular	<b>せいしき</b> な しょうたいじょう を うけとりました	I received a formal invitation.	0	0
2551	かける	stake@hang, put on@be chipped, be missing@bet, stake@gallop, run quickly	かれ は しごと に いのち を <b>かけている</b> の 。@おっと の ふく を はんがー に <b>かけた</b>@おきにいり の かっぷ が <b>かけて しまいました</b>@かれ は あたらしい しごと に じんせい を <b>かけて いる</b>@こどもたち は ひろば に <b>かけて</b> いった わ よ	He risks his life in his job.@I put my husband's clothes on a hanger.@My favorite cup has been chipped.@He stakes his fortune on this new job.@The children rushed into the square.	0	0
2552	ジーパン	jeans	かれ は いつも <b>じーぱん</b> を はいて いる ね	He always wears jeans.	0	0
2553	しょうめん	front, face	その いえ の <b>しょうめん</b> に は おおき な ばるこにー が ある の	There is a large balcony at the front of the house.	0	0
2554	しょうご	noon, noontime	ひるやすみ は <b>しょうご</b> から です	The lunch break is from noon.	0	0
2555	せい	cause, fault@surname, family name@sex, nature@right, positiveness@life	じぶん の しっぱい を たにん の <b>せい</b> に する な@けっこん して <b>せい</b> が かわりました@この かいしゃ で は <b>せい</b> に よる さべつ は ありません@しょるい は <b>せい</b> と ふく の につう あります@わたし が このよ に <b>せい</b> を うけて はちじゅうねん が すぎた わ	Don't blame others for your failure.@I got married and changed my family name.@There is no gender discrimination in this company.@The document consists of the original and a copy.@More than 80 years have passed since I came into this world.	0	0
2556	せいぎ	justice, righteousness	この よ に <b>せいぎ</b> は ない の だろう か	Is there no justice in this world?	0	0
2557	せいもん	main gate, main entrance	じゅけんせい は <b>せいもん</b> から はいって ください	Test-takers must enter from the front gate.	0	0
2558	せいかい	right answer, correct solution	じゅうもんちゅう きゅうもん <b>せいかい</b> しました	Nine out of ten questions were answered correctly.	0	0
2559	せいほうけい	square	<b>せいほうけい</b> の かみ を ようい しましょう	Prepare a square of paper.	0	0
2560	ジャーナリズム	journalism	かれ は <b>じゃーなりずむ</b> を せんこう して いる	He majors in journalism.	0	0
2561	せいざ	sitting upright with legs folded under one	かれ は きちんと <b>せいざ</b> して まって いた ね	He waited while sitting properly on the floor, Japanese style.	0	0
2562	はし	bridge@end, edge@chopsticks	あの <b>はし</b> は にほん で いちばん ながい@じしょ は ほんだな の <b>はし</b> に あります@<b>はし</b> を じょうず に つかえる よ	That bridge is the longest in Japan.@The dictionary is at the end of the bookshelf.@I'm good at using chopsticks.	0	0
2563	いせい	opposite sex	むすこ は もう <b>いせい</b> を いしき して いる	My son is already aware of the opposite sex.	0	0
2564	せいじょう	normality, normalcy	かんじゃ の こきゅう は <b>せいじょう</b> です	The patient's breathing is normal.	0	0
2565	そこ	there@bottom, depths	<b>そこ</b> に すわって ください@こっぷ の <b>そこ</b> が ぬれて います よ	Please sit there.@The bottom of the glass is wet.	0	0
2566	いしき	consciousness, awareness	かれ は <b>いしき</b> を うしないました	He lost consciousness.	0	0
2567	じょうしき	common sense, common knowledge	そんな の <b>じょうしき</b> だ よ	That is common sense.	0	0
2568	スピーチ	speech	かれ の <b>すぴーち</b> は すばらしかった 。	His speech was excellent.	0	0
2569	しらべ	investigation, inquiry	けいさつ の <b>しらべ</b> で じょせい の みもと が わかりました	An investigation by the police uncovered the woman's identity.	0	0
2570	したしらべ	preliminary investigation, preparation	まず だいいち に しっかり <b>したしらべ</b> を しなさい	First of all, be sure to make a careful preliminary investigation.	0	0
2571	せいび	maintenance, servicing	くるま は <b>せいび</b> に だして います	I've put my car in for maintenance.	0	0
2572	きゅうよう	rest, recreation@urgent business	かのじょ は いま <b>きゅうよう</b>ちゅう です@かれ は <b>きゅうよう</b> で かえりました	She is taking a rest now.@He went home on urgent businness.	0	0
2573	せつやく	economizing, saving	でんき や みず を <b>せつやく</b> しましょう	Let's save electricity and water.	0	0
2574	きょうぎ	conference, deliberation@match, sporting event	いいんかい は その もんだい に ついて <b>きょうぎ</b> しました わ@かれ は こじん <b>きょうぎ</b> の すぽーつ が すき です	The committee discussed the issue.@He likes individual sports.	0	0
2575	けんさ	inspection, examination	わたし は きょう め の <b>けんさ</b> を うけます	I will have an eye examination today.	0	0
2576	ああ	that kind of	<b>ああ</b> うるさい ひと は にがて です	I don't like loud people like that.	0	0
2577	あん	plan, proposal	もっと <b>あん</b> を だしあいましょう	Let's share more ideas.	0	0
2578	あんがい	unexpectedly	かれ は <b>あんがい</b> いい ひと かも しれない	He may unexpectedly turn out to be a good person.	0	0
2579	あんのじょう	as feared, sure enough	<b>あんのじょう</b> かれ は ちこく した な	Just as I thought, he was late.	0	0
2580	こくれん	United Nations	<b>こくれん</b> の ほんぶ は にゅーよーく に あります	The headquarters of the United Nations is in New York.	0	0
2581	せつぞく	connection, joining	こんぴゅーたー を ねっとわーく に <b>せつぞく</b> しました	The computer was connected with the network.	0	0
2582	がいしょう	Minister of Foreign Affairs	<b>がいしょう</b> は らいしゅう ほうべい の よてい です	The Foreign Minister is scheduled to visit the United States next week.	0	0
2583	しんそう	the truth	さいきん じけん の <b>しんそう</b> が あきらか に なった よ	Recently the truth of the case has been revealed.	0	0
2584	あいかわらず	as usual, as before	かれ は <b>あいかわらず</b> いそがしい です ね	He is busy as usual.	0	0
2585	せいとう	political party@just, legal	せんきょ で は みっつ の <b>せいとう</b> が あらそって います@これ は <b>せいとう</b> な ようきゅう です	Three political parties are competing in the election.@This is a fair claim.	0	0
2586	アクセント	accent, stress	あめりか えいご と いぎりす えいご で は <b>あくせんと</b> が ちがう こと が ある ね	There can be a difference in stress between American and British English.	0	0
2587	ざつだん	chat, idle talk	その せんせい は いつも じゅぎょう の まえ に <b>ざつだん</b> を する の	The teacher always chats before the class.	0	0
2588	はれる	swell, swell up@be sunny, clear up	けさ は め が <b>はれて います</b>@あした は <b>はれる</b> と いい です ね	My eyes are swollen this morning.@I hope it'll be sunny tomorrow.	0	0
2589	きじ	article, story	かんきょう もんだい に かんする <b>きじ</b> を よんだ の	I read an article on environmental issues.	0	0
2590	きごう	symbol, mark	ちず に は いろいろ な <b>きごう</b> が つかわれて いる の ね	A variety of symbols are used on maps.	0	0
2591	きにゅう	entry, record	こちら に おなまえ を ご <b>きにゅう</b> ください	Please fill in your name here.	0	0
2592	あんき	memorization	しけん の まえ に えいぶん を <b>あんき</b> した ん だ	I memorized the English text before the examination.	0	0
2593	きおく	memory, recollection	とうじ の こと は しっかり <b>きおく</b> して いる よ	I clearly remember what happened at that time.	0	0
2594	コマーシャル	commercial, advertising	かのじょ は てれび の <b>こまーしゃる</b> に でて いる わ	She is appearing in a TV commercial.	0	0
2595	りょうしん	parents@conscience	わたし の <b>りょうしん</b> は おおさか に すんで います@わたし は <b>りょうしん</b> に したがって こうどう します	My parents live in Osaka.@I behave according to my conscience.	0	0
2596	じゃま	disturbing@hindrance, obstruction	<b>じゃま</b> です どいて ください@<b>じゃま</b> です どいて ください	You're in the way, so please move.@You're in the way, so please move.	0	0
2597	ぜいかん	custom house, customs	けがわ を <b>ぜいかん</b> で ぼっしゅう された ん だ	The fur was seized at customs.	0	0
2598	め	eye@bud, sprout	かのじょ は あおい <b>め</b> を して います@ちゅーりっぷ の <b>め</b> が でました	She has blue eyes.@The tulip buds emerged.	0	0
2599	かかわる	involve, concern	いし は ひと の いのち に <b>かかわる</b> たいせつ な しょくぎょう だ よ	A doctor's job is very important, as people's lives depend on it.	0	0
2600	かかり	person in charge	かのじょ は かいじょう せいり の <b>かかり</b> だった の	She was in charge of the hall arrangement.	0	0
2601	げんじょう	present condition	もんだい を かいけつ できない の が <b>げんじょう</b> です	The current situation is that we can't solve the problem.	0	0
2602	じたい	situation, state of affairs	<b>じたい</b> は しんこく です	The situation is serious.	0	0
2603	しつこい	persistent	<b>しつこい</b> めいわく めーる に こまって いる	I am having trouble with persistent junk mail.	0	0
2604	じったい	the actual situation, the realities	その かいしゃ の けいえい の <b>じったい</b> を ちょうさちゅう だ	The state of that company's management is being investigated.	0	0
2605	ぎょうせい	administration	ねんきん もんだい は <b>ぎょうせい</b> の さいだい の かだい の ひとつ よ	The pension problem is one of the current administration's biggest issues.	0	0
2606	せいじか	politician	おおきく なったら <b>せいじか</b> に なりたい です	I want to become a politician when I grow up.	0	0
2607	おさまる	settle down, be cured	せき が すこし <b>おさまりました</b>	My cough is a little better.	0	0
2608	きこう	climate	にほん の <b>きこう</b> は おんだん です	The climate in Japan is temperate.	0	0
2609	しゃがむ	squat down	おとしより が みちばた に <b>しゃがんで います</b> ね	An old person is squatting down on the side of the road.	0	0
2610	おぎなう	supplement, replenish	なつ は すいぶん を じゅうぶん に <b>おぎないましょう</b>	Make sure you take enough liquids in the summer.	0	0
2611	あしくび	ankle	かれ は <b>あしくび</b> を いためて います	He has hurt his ankle.	0	0
2612	しゅのう	head, leader	とうきょう で ごかこく の <b>しゅのう</b>かいだん が ひらかれて います	A five-country summit is being held in Tokyo.	0	0
2613	ずつう	headache	きょう は <b>ずつう</b> が します	I have a headache today.	0	0
2614	かおいろ	complexion, countenance	かれ は <b>かおいろ</b> が よく ありません ね 。	His face looks pale.	0	0
2615	おじょうさん	young lady, your daughter@young lady, someone's daughter	<b>おじょうさん</b> は おいくつ です か@かれ は <b>おじょうさん</b> と いっしょ でした	How old is your daughter?@He was with his daughter.	0	0
2616	あさがお	morning glory	むらさき の <b>あさがお</b> が さきました	A purple morning-glory bloomed.	0	0
2617	コンテスト	contest	この <b>こんてすと</b> に ゆうしょう する と くるま が もらえる ん だ	If you win this contest you can get a car.	0	0
2618	ち	ground, place@blood	かれ は その <b>ち</b> で のこり の しょうがい を すごした ん だ@<b>ち</b> が でて います よ	He spent the rest of his life in that place.@You're bleeding.	0	0
2619	かいりょう	improvement, reform	にほん で は たえず こめ の ひんしゅ を <b>かいりょう</b> して いる の	Varieties of rice are always being improved in Japan.	0	0
2620	あらためる	reform, change	かれ は わるい しゅうかん を <b>あらためよう</b> と して いる わ ね	He's trying to change his bad habits.	0	0
2621	れい	example, precedent@bow, courtesy@zero, naught	ひとつ <b>れい</b> を あげて ください@せんせい に お<b>れい</b> の てがみ を かきました@いま ちょうど <b>れい</b>じ です	Please give an example.@I wrote a thank-you letter to my teacher.@It's exactly midnight now.	0	0
2622	かいぞう	remodeling, reorganization	しゅしょう は ないかく の <b>かいぞう</b> を おこないました	The Prime Minister reshuffled the Cabinet.	0	0
2623	あらためて	once again	<b>あらためて</b> あなた の ごいけん を きかせ て ください	Please let me hear your opinion again.	0	0
2624	あらたまる	be renewed, change	ねんごう が <b>あらたまりました</b>	The name of the era has changed.	0	0
2625	かくめい	revolution	それ は れきしじょう の おおき な <b>かくめい</b> です	That is a major revolution in history.	0	0
2626	キャベツ	cabbage	<b>きゃべつ</b> の せんぎり を そえた よ	I garnished it with shredded cabbage.	0	0
2627	かっと	lose one's temper, fly into a rage@cut	<b>かっと</b> なって よけい な こと を いって しまった な@しちょう が てーぷ を <b>かっと</b> した	I lost my temper and said something I shouldn't have.@The mayor cut the ribbon.	0	0
2628	いのち	life	<b>いのち</b> より たいせつ な もの は ない よ	There is nothing more important than life.	0	0
2629	うんめい	fate, fortune	<b>うんめい</b> に は さからえない よ	You can't go against fate.	0	0
2630	くみあい	union, guild	きょう は <b>くみあい</b> の あつまり が ある わ	There is a union meeting today.	0	0
2631	しくみ	construction, arrangement	この きかい の <b>しくみ</b> は ふくざつ だ	The mechanism of this machine is complex.	0	0
2632	くみ	school class	かれ は いちねん に<b>くみ</b> の せいと です	He's a student in first grade, second class.	0	0
2633	くみあわせる	assort, join together	いろいろ な はな を <b>くみあわせ</b> はなたば を つくりました	I put many kinds of flowers together to make a bouquet.	0	0
2634	アイドル	idol, pop singer	かのじょ は わかもの の <b>あいどる</b> です	She is a youth icon.	0	0
2635	くみこむ	incorporate, integrate	きゃんぺーん に あたらしい いべんと を <b>くみこみました</b>	We introduced a new event into the campaign.	0	0
2636	くみあわせ	combination, assortment	いろ の <b>くみあわせ</b> で いんしょう が かわります よ	The image changes according to the combination of colors.	0	0
2637	かてい	assumption, supposition@home, family@course, curriculum@process, course	<b>かてい</b> の はなし だけ で は けつろん は でません@かれ は <b>かてい</b> を たいせつ に して いる@いちねんせい の <b>かてい</b> を しゅうりょう した の@ぷろぐらむ の <b>かてい</b> に もんだい が ある の	A conclusion can't come from assumptions alone.@He values his family.@He completed the first-year curriculum.@There is a problem in the programming process.	0	0
2638	おりもの	cloth, textile	その まち は <b>おりもの</b>ぎょう で ゆうめい です	The town is famous for the textile industry.	0	0
2639	しんしゅつ	advancement	おおて ちぇーんてん が <b>しんしゅつ</b> して いる	That major store chain is expanding.	0	0
2640	しんぽ	progress, advancement	かがく ぎじゅつ は めざましく <b>しんぽ</b> して いる の	Science and technology have advanced remarkably.	0	0
2641	もうける	make a profit@set up, establish	せんげつ は かぶ で 100 まん えん <b>もうけた</b> の@じゅぎょう の おわり に ふくしゅう の じかん を <b>もうけた</b>	I gained a million yen on the stock market last month.@I set up a review time at the end of class.	0	0
2642	からかう	make fun of, tease	かれ は ときどき いもうと を <b>からかいます</b>	He sometimes makes fun of his younger sister.	0	0
2643	しんろ	course, route	そつぎょう ご の <b>しんろ</b> を まよって います	I'm having trouble deciding what path I'll take after graduation.	0	0
2644	こうしん	march, parade	かいかいしき で せんしゅたち が <b>こうしん</b> しました	Players paraded at the opening ceremony.	0	0
2645	かんしん	admiration@concern, interest	かれ の がまんづよさ に は <b>かんしん</b> しました@かれ は せいじ に <b>かんしん</b> が つよい ね	I admired his patience.@He has a strong interest in politics.	0	0
2646	すいしん	promotion	その かいしゃ は りさいくる を <b>すいしん</b> して いる ね	The company is promoting recycling.	0	0
2647	しゅにん	person in charge, head	かのじょ は かいけい <b>しゅにん</b> です	She is an account manager.	0	0
2648	じにん	resignation	しゃちょう の <b>じにん</b> が きまりました	The president's resignation has been agreed upon.	0	0
2649	おせじ	compliment, flattery	かれ は <b>おせじ</b> を いう の が うまい	He is good at flattery.	0	0
2650	いいんかい	committee	あした <b>いいんかい</b> が ひらかれます	The committee meeting will be held tomorrow.	0	0
2651	すっきり	refreshed	よく ねむったら きぶん が <b>すっきり</b> した	I felt much better after a good sleep.	0	0
2652	いいん	committee member, delegate	かれ は <b>いいん</b> に えらばれました	He was elected to the committee.	0	0
2653	しゅっきん	to go to work, attendance at work	まいあさ しち じ ご ふん に <b>しゅっきん</b> します	I go to work at 7:05 every morning.	0	0
2654	きんべん	diligence, hard work	かれ は <b>きんべん</b> な ひと です	He is a diligent person.	0	0
